grid_wind_mps,grid_rotor_speed_rpm,actual_wind_mps,actual_rotor_speed_rpm,wind_error_mps,rotor_speed_error_rpm,lin_time_s,lin_file,GTomega,GTbeta,GTu,GFomega,GFbeta,GFu
12.0,1.0,12.0,1.00032818317,0.0,0.00032818316999994046,9.877,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_1rpm.lin,1002.86275253,7195.47754088,-162827.443404,-20.6024557582,-538.857344039,-311.042224915
12.0,1.5,12.0,1.5001847744,0.0,0.00018477440000008727,9.55,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_1.5rpm.lin,5250.07157762,42113.9933098,-177518.43937,65.0113925854,101.674033596,-928.528044981
12.0,2.0,12.0,1.99974656105,0.0,-0.0002534389499999623,9.129,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_2rpm.lin,46837.3785003,42878.6521868,-114543.215712,-1206.03913208,306.017071727,-548.590302965
12.0,2.5,12.0,2.49950027466,0.0,-0.0004997253400000901,8.793,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_2.5rpm.lin,233094.993116,31756.4636822,-84985.7554559,-1701.95105824,221.691493426,-184.434778535
12.0,3.0,12.0,2.99979424477,0.0,-0.0002057552300001042,8.399,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_3rpm.lin,183143.157905,24262.9008271,-76214.1297111,418.128666687,182.049389091,-211.026398861
12.0,3.5,12.0,3.5001308918,0.0,0.00013089180000003253,7.977,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_3.5rpm.lin,22753.6179926,21071.4627813,-60038.8149573,278.947388893,194.304286189,-141.02930885
12.0,4.0,12.0,3.99967741966,0.0,-0.0003225803400002114,7.665,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_4rpm.lin,1915.72969321,23377.3743263,-51874.1663767,102.501363757,354.80767582,-149.282363028
12.0,4.5,12.0,4.50009346008,0.0,9.346008000044037e-05,7.284,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_4.5rpm.lin,1990.26801171,26468.5918503,-41969.1584933,122.351345679,552.449704214,-163.494402087
12.0,5.0,12.0,5.00026273727,0.0,0.0002627372699999242,6.919,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_5rpm.lin,1688.45320347,29341.1918107,-32970.1401236,128.949487785,815.430075686,-167.858729042
12.0,5.5,12.0,5.49941635132,0.0,-0.0005836486800001595,6.647,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_5.5rpm.lin,1934.96837666,30858.4356905,-22767.910384,158.626313822,1068.32659869,-21.4299644077
12.0,6.0,12.0,6.00052118301,0.0,0.000521183010000037,6.343,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\12mps_6rpm.lin,1463.89391361,31276.8409707,-15183.381571,157.282678259,1325.88174158,-31.4455352406
