grid_wind_mps,grid_rotor_speed_rpm,actual_wind_mps,actual_rotor_speed_rpm,wind_error_mps,rotor_speed_error_rpm,lin_time_s,lin_file,GTomega,GTbeta,GTu,GFomega,GFbeta,GFu
2,1.0,2.0,1.00003373623,0.0,3.373623000002546e-05,10.329,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_1rpm.lin,269.154290143,371.888469998,-18677.976498,4.56878526529,-29.7051741314,64.7261510658
2,1.5,2.0,1.49994027615,0.0,-5.9723849999970824e-05,9.841,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_1.5rpm.lin,333.725567742,617.939884628,-19225.4197663,9.7090864436,-45.8656632053,29.5343936693
2,2.0,2.0,2.00029850006,0.0,0.0002985000599999843,9.413,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_2rpm.lin,410.764074586,1005.31813147,-16574.5947173,16.5450371678,-57.3524153812,10.8478703644
2,2.5,2.0,2.50004267693,0.0,4.2676930000151714e-05,9.042,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_2.5rpm.lin,448.715628735,1201.26355393,-11743.8443071,23.4659151504,-66.5558598008,20.2549533044
2,3.0,2.0,3.00064182281,0.0,0.0006418228100000256,8.605,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_3rpm.lin,516.050077908,1621.61348372,-4316.87888769,31.8230321041,-74.3626633245,33.6276987181
2,3.5,2.0,3.49950218201,0.0,-0.0004978179899999269,8.247,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_3.5rpm.lin,549.822150603,1757.64003769,-562.214836472,39.7314660566,-87.15084113,77.4947799078
2,4.0,2.0,3.99985980988,0.0,-0.00014019012000021647,7.826,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_4rpm.lin,636.668482039,2183.18211415,6746.57803767,51.5515740755,-106.496386762,154.066336806
2,4.5,2.0,4.50014209747,0.0,0.00014209747000037964,7.443,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_4.5rpm.lin,715.516627556,2684.07997708,46305.7328052,63.6662255941,-118.228249477,626.784494244
2,5.0,2.0,4.99958944321,0.0,-0.0004105567900003493,7.117,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_5rpm.lin,767.133151696,3437.35383014,18639.0332728,74.9849643702,-149.053584258,344.613970724
2,5.5,2.0,5.49932098389,0.0,-0.0006790161100003189,6.757,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_5.5rpm.lin,831.982987558,5235.56988914,32404.3443009,89.5772038075,-107.226606932,529.31452558
2,6.0,2.0,6.000436306,0.0,0.00043630600000010844,6.406,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_6rpm.lin,835.076807294,5045.45529622,64887.4702986,102.739012725,-152.983630448,1320.82438592
2,6.5,2.0,6.50004577637,0.0,4.5776370000361055e-05,6.088,D:\zju_soft_study\blade_fracture\后处理\outputs\linearization\2mps_6.5rpm.lin,790.282583603,6979.90309973,53872.3566872,114.663779307,-45.1674026831,1064.33624795
