grid_wind_mps,point_count,max_abs_wind_error_mps,max_abs_rpm_error,mean_abs_rpm_error,min_lin_time_s,max_lin_time_s,rpm_mapping_ok_0p01rpm
2.0,23,0.0,0.0006790161100003,0.0002212213426087171,0.972,10.329,True
3.0,23,0.0,0.0007085800200004,0.0002778198408696019,0.983,10.318,True
4.0,23,0.0,0.0006895065299996,0.0002802921369564893,1.007,10.275,True
5.0,23,0.0,0.0006046295199997,0.00024776095808693333,1.05,10.2,True
6.0,23,0.0,0.0007629394999995,0.0003244332659129715,1.119,10.126,True
7.0,23,0.0,0.0008988380400003,0.0003736615182173131,1.228,10.071,True
8.0,23,0.0,0.0007505416900004,0.0003108356260869046,1.343,10.026,True
9.0,23,0.0,0.00074839592,0.0004309804580434415,1.446,9.982,True
10.0,23,0.0,0.0009441375700003,0.0003886844765216282,1.594,9.933,True
11.0,23,0.0,0.0010342597999999,0.00043224251608684454,1.851,9.881,True
12.0,23,0.0,0.0007367134100002,0.00033572964434774367,1.294,9.877,True
13.0,23,0.0,0.0008792877200001,0.0004281168413044285,0.999,9.981,True
14.0,23,0.0,0.0007724761999998,0.00037586688869560987,1.034,9.898,True
15.0,23,0.0,0.0009870528999993,0.00040060540817381826,0.967,9.98,True
16.0,23,0.0,0.0005769729999993,0.00027274566956524555,0.909,10.062,True
17.0,23,0.0,0.0007095336899993,0.00028706892526088047,0.92,9.995,True
18.0,23,0.0,0.0012283325200002,0.0003930174773913939,0.868,10.104,True
19.0,23,0.0,0.0012397766000002,0.00039619725869561255,0.874,10.032,True
20.0,23,0.0,0.0011110305800006,0.0004418362721738595,0.822,10.184,True
21.0,23,0.0,0.3992581367500003,0.2648881362831305,0.829,9.97,False
22.0,23,0.0,0.0010099410999995,0.0004024272384346887,0.829,9.97,True
23.0,23,0.0,0.0011701584000007,0.0003955105100000726,0.678,10.157,True
24.0,23,0.0,0.0018463134999997,0.0004944283052608137,0.791,9.649,True
25.0,23,0.0,0.0013208388999998,0.0004304802952171557,1.023,8.959,True
26.0,23,0.0,0.0017156601000003,0.00046901599034777404,0.937,8.881,True
27.0,23,0.0,0.0014324188000003,0.0004266344978261804,0.932,8.708,True
28.0,23,0.0,0.0013885497999996,0.0004551799334782052,0.926,8.544,True
29.0,23,0.0,0.0014877319300001,0.0004350854032174272,0.919,8.398,True
30.0,23,0.0,0.0014810562100002,0.00048246072999998704,0.911,7.728,True
