case_dir,fst_file,lin_order,lin_time_s,wind_speed_mps,target_rpm,expected_lin_file
D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.fst,1,0.3388088809601467,21.0,12.0,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.1.lin
D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.fst,2,0.4981799961117629,21.0,11.5,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.2.lin
D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.fst,3,0.7419769203039881,21.0,11.0,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.3.lin
D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.fst,4,0.8729078333760828,21.0,10.5,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.4.lin
D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.fst,5,0.9720403679225316,21.0,10.0,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.5.lin
D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.fst,6,1.1473604012088547,21.0,9.5,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.6.lin
D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.fst,7,1.4604446525566153,21.0,9.0,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.7.lin
D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.fst,8,1.732032065538377,21.0,8.5,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.8.lin
D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.fst,9,1.884511540995815,21.0,8.0,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.9.lin
D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.fst,10,2.041370812137385,21.0,7.5,D:\zju_soft_study\openfast5.0.0\openfast-main\vs-build\controllers\DISCON_MPC_CPP\repair_21mps\linearization_cases\linearization_21mps\linearization_21mps.10.lin
