phase,mean_us,p50_us,p95_us,p99_us,max_us,mean_share_of_function_pct,target_cpu_p99_us_estimate
preprocess_us,2.005,1.9,2.9,3.4030000000000014,3.7,0.0009821398865808204,3.4030000000000014
model_workspace_us,48.299,44.05,76.46499999999999,93.84900000000002,98.7,0.023659039592003515,93.84900000000002
prediction_us,261.543,250.35000000000002,326.115,526.938,530.7,0.12811561713516584,526.938
cost_us,14796.366000000002,14626.6,16417.705,16894.81500000002,20717.7,7.247930785560254,16894.81500000002
constraints_us,39.284,37.849999999999994,62.305,74.13400000000007,87.4,0.019243083942364566,74.13400000000007
qpoases_us,188911.103,188993.90000000002,198803.21499999997,203846.59800000003,207054.0,92.5372215831809,203846.59800000003
extract_u_us,0.307,0.3,0.5,0.6,0.6,0.00015038251629940743,0.6
post_diagnostics_us,87.165,83.4,107.405,129.80700000000002,130.5,0.0426973681864425,129.80700000000002
total_to_u_us,204058.907,204133.75,213984.43999999997,219317.291,223316.0,99.95730263181356,219317.291
total_function_us,204146.072,204230.0,214078.66999999998,219400.88900000002,223399.4,100.0,219400.88900000002
