phase,mean_us,p50_us,p95_us,p99_us,max_us,mean_share_of_function_pct,target_cpu_p99_us_estimate
preprocess_us,2.453333333333333,1.75,5.429999999999998,7.120000000000002,7.7,0.0011729743708765508,7.120000000000002
model_workspace_us,59.46666666666667,45.349999999999994,115.30999999999983,227.5520000000001,262.7,0.028431878772333788,227.5520000000001
prediction_us,271.60333333333335,257.75,385.3799999999999,462.60600000000005,485.4,0.12985750640406554,462.60600000000005
cost_us,14785.06,14753.150000000001,16851.355,17069.885000000002,17097.0,7.068952358100023,17069.885000000002
constraints_us,36.30333333333333,37.8,53.64999999999998,57.297,57.5,0.01735715200165287,57.297
qpoases_us,193908.62666666665,193585.3,207114.24,209325.65600000002,209355.7,92.71053642875106,209325.65600000002
extract_u_us,0.31666666666666665,0.3,0.5549999999999997,0.6,0.6,0.00015140294189303305,0.6
post_diagnostics_us,91.06666666666666,81.6,137.94499999999988,190.54800000000003,204.7,0.043540298658080664,190.54800000000003
total_to_u_us,209063.83000000002,208731.0,223879.75,226768.313,226826.4,99.95645970134191,226768.313
total_function_us,209154.89666666667,208809.5,223971.655,226861.807,226917.4,100.0,226861.807
